date,类型,标题,卧槽点,机制,来源类型,核心数据,适合结构环节,详情URL,逐字证据,发布时间,字段级回指
2026-09-21,B,喜茶重新开放加盟第一件事是劝退/回本周期从5.5个月神话拉长至18-24个月/核心商圈超28个月,回本周期5.5个月神话被打破，实际需18-24个月，核心商圈更超28个月，意味着50万投资要近3年才能回本,茶饮加盟商信息差套利：品牌用早期成功案例包装成"普遍回本周期"，掩盖了市场饱和后的真实回报率。钱从加盟商口袋流出，经品牌加盟费+物料供应链+选址成本，最后品牌旱涝保收加盟商承担全部风险。,维度3/36氪,5.5个月(神话回本周期)→18-24个月(现实),2026-09-14,https://m.36kr.com/p/3982919221443332,"喜茶也同时明确提醒新茶饮并非暴利行业，不适合追求'短期快收益、快进快出'的投资者",2026-09-14,标题:36氪餐饮老板内参/机制分析:灵小策/核心数据:原文引述
2026-09-21,B,茶饮门店密度战/"百米三店"逼死加盟商/全国45.2万家茶饮门店正在内卷,全国45.2万家茶饮门店，部分核心商圈出现"百米三店"，单店被稀释到每天只能卖二三百元,钱从消费者口袋出来，经门店收入→品牌物料供应链→品牌总部分走大部分利润。门店越多→单店收入被稀释→加盟商亏损→品牌靠供应链仍盈利。信息差：消费者以为"排队品牌"就是好生意，不知道门店密度早已超过市场容量。,维度3/36氪,45.2万家(全国茶饮门店),2026-09-14,https://m.36kr.com/p/3982919221443332,"部分核心商圈甚至出现了'百米三店'的极端情况",2026-09-14,标题:36氪餐饮老板内参/机制分析:灵小策/核心数据:原文引述
2026-09-21,C,古茗加盟费从9.88万降至1.5万/降幅85%/茶饮品牌开始"反向收割"加盟商,古茗加盟费直降85%，相当于给加盟商让利8.38万。这是品牌在市场饱和后主动降低门槛，让更多加盟商"进门"的策略，实质是把风险进一步转移,钱从加盟商口袋里出来：前期加盟费(原9.88万现1.5万)→设备采购→原料物料→日常管理费。品牌降加盟费≠让利，是因为门店密度太高招不到人，不得不降低门槛。降费后品牌靠供应链和物料持续回收，且新店开张分走存量门店生意。制度套利：加盟商以为捡了便宜，实际是进了更深的局。,维度3/36氪,9.88万→1.5万(加盟费降幅85%),2026-09-14,https://m.36kr.com/p/3982919221443332,"2026年9月1日起新签约门店，首年只需支付1.5万元，相较原先前期支付9.88万元，可以少支出8.38万元",2026-09-14,标题:36氪餐饮老板内参/机制分析:灵小策/核心数据:原文引述
2026-09-21,B,茶饮加盟从"投资型"变"就业型"/霸王茶姬要求加盟商必须全职在店/不接受纯财务投资人,茶饮加盟商的角色从"出资当老板"变成"亲自下场打工"，霸王茶姬/古茗/一点点均要求加盟商本人驻店，意味着加盟商押上的是家庭主要劳动力而非闲钱,钱从加盟商口袋里出来：加盟商投入50-200万+本人全职劳动力。如果亏损，亏的不只是投资本金，还有2-3年时间成本和就业机会成本。品牌旱涝保收靠供应链，加盟商承担全部投资风险+劳动风险。这是信息差套利：品牌宣传"当老板"，实际是"花钱买份工作"。,维度3/36氪,霸王茶姬要求全职在店,2026-09-14,https://m.36kr.com/p/3982919221443332,"霸王茶姬要求加盟商必须全职在店、每月驻店时长达标，'不接受纯投资、不参与经营的模式'",2026-09-14,标题:36氪餐饮老板内参/机制分析:灵小策/核心数据:原文引述
2026-09-21,A,霸王茶姬日均净利润从689万暴跌至311万/暴跌52.4%/品牌与加盟商的冰火两重天,霸王茶姬2024年每天净赚689万，2025年暴跌至每天311万，暴跌52.4%。但品牌仍在盈利，加盟商却在批量阵亡,钱流机制：加盟商亏损→品牌供应链收入不受影响；品牌净利润下滑但仍盈利，靠的是压缩加盟商利润空间。钱从消费者口袋经门店到品牌，品牌通过物料定价权把加盟商的利润转移走。价格对比：消费者以为品牌增长=门店赚钱，实际两者已严重分化。,维度8/行业数据,日赚689万→311万(-52.4%),2026,https://www.tmtpost.com/8122875.html,"2024年霸王茶姬净利润高达25.15亿元，平均每天净赚689万元；仅仅一年后，2025年净利润却只剩11.35亿元，暴跌52.4%",2026-09,标题:钛媒体/机制分析:灵小策/核心数据:原文引述
2026-09-21,B,茶饮价格战三年后/行业毛利率跌破50%警戒线/2025年净减少超3万家门店,价格战打了三年，行业整体毛利率跌破50%警戒线，2025年全国现制茶饮门店净减少超3万家，71%品牌停止拓店,钱从消费者口袋出来：价格战→门店端毛利率暴跌→品牌通过供应链和加盟商扣点维持收入。消费者享受了低价，但低价是由加盟商和供应商在承担成本，最终会反映在品质和门店存活率上。信息差：消费者以为"便宜"是福利，不知道这是压垮加盟商的血。,维度3/36氪,毛利率跌破50%，净减少3万家，71%品牌停止拓店,2026-09-14,https://m.36kr.com/p/3982919221443332,"新茶饮行业增速从2023年的19.3%降到2025年的6.4%；2025年全国现制茶饮门店净减少超3万家，71%的茶饮品牌停止拓店",2026-09-14,标题:36氪餐饮老板内参/机制分析:灵小策/核心数据:原文引述
2026-09-21,B,茶饮加盟商亏损被回收门店/"盈利很好"的店也被品牌低价收回,加盟商反映，有"盈利很好"的店被品牌按"三四折"回收。换个经营主体继续开，原来的亏损模型反而能成立,这揭露了茶饮加盟合同里的权力不对等：品牌有权随时按自己定的价格回收门店，加盟商几乎没有议价权。制度套利：品牌用"回收"名义低价拿回优质门店，加盟商亏损离场时才发现签的是卖身契。,维度3/36氪,三四折回收价,2026,https://www.tmtpost.com/8122875.html,"同一家店，按三四折收回去，换个经营主体继续开，不用付原料溢价和品牌费，原来的亏损模型反而能成立",2026-09,标题:钛媒体/机制分析:灵小策/核心数据:原文引述
2026-09-21,D,茶饮造节套路/消费者被培养等优惠习惯/正常价格卖不动/品牌用优惠培养依赖症,蜜雪冰城等品牌通过频繁的"买一送一"等优惠活动培养消费者习惯，导致正价无人买。一旦优惠停止，客流骤降，品牌和加盟商陷入两难,心理机制利用：锚定效应——先标高原价，再给折扣，让消费者觉得"赚到"。厌恶损失——错过优惠等于"亏了"，刺激非理性消费。品牌通过优惠训练消费者只有在折扣时才会购买，这使得门店利润被进一步侵蚀，消费者以为的"划算"实则是被设计的行为模式。,维度8/行业数据,蜜雪冰城黑猫投诉11000+起/食安投诉超70%,2026-08-28,https://m.36kr.com/p/3626558574511105,"用户养成等优惠习惯正常价格卖不动",2026-01-06,标题:36氪/机制分析:灵小策/核心数据:原文引述
2026-09-21,A,头部茶饮品牌集体减速/幸运咖全年只放2000家名额/行业从扩张转向"消化存量",幸运咖2026年全年新增不超过2000家，下半年只放1000家名额。茶饮品牌从"抢地盘"转向"消化存量"，意味着之前开的店已经密度过高,规模陷阱：门店数量增长≠营收增长，反而稀释单店营收。品牌减速是因为"蛋糕"做不大了，再扩张只会让所有门店一起亏损。钱从品牌账户出来：减速=承认市场饱和≠认输，而是保现有加盟商不要崩盘。,维度3/36氪,幸运咖2026年新增2000家名额,2026-09-14,https://m.36kr.com/p/3982919221443332,"2026年以单店营收增长为主，以规模发展为辅",2026-09-14,标题:36氪餐饮老板内参/机制分析:灵小策/核心数据:原文引述
2026-09-21,C,茶饮加盟合同里的"退出条款"陷阱/提前闭店最高获5万补贴/但加盟商实际损失远超这个数,古茗出台政策：签约不满一年的门店若提前闭店，最高可获得5万元补贴。但加盟商前期投入通常在50-200万，5万补贴相当于补偿2.5%-10%的损失,制度套利：品牌用"5万补贴"包装成"体面退出保障"，实际是把加盟商的损失限制在可接受范围内，避免引发集体维权。钱从加盟商口袋里出来：5万补贴是品牌少赚的钱(因加盟商退出后品牌可重新授权)，对加盟商来说实则是被"买断"而非被"补偿"。,维度3/36氪,最高5万元闭店补贴,但加盟商实际损失50-200万,2026-09-14,https://m.36kr.com/p/3982919221443332,"签约不满一年的门店若提前闭店，最高还可获得5万元补贴",2026-09-14,标题:36氪餐饮老板内参/机制分析:灵小策/核心数据:原文引述
