date,类型,标题,卧槽点,机制,来源类型,核心数据,适合结构环节,详情URL,逐字证据,发布时间,字段级回指
2026-09-01,C,"百亿补贴"全是套路：五大平台被约谈，监管只告诫不罚款,五大平台同天被约谈，却无一被罚款；"百亿补贴"是长期营销活动非百亿投入，消费者以为的"补贴"实为平台流量工具,平台→消费者：补贴金额不公开→消费者误以为获益→平台获得流量和GMV→商家被迫参与→平台旱涝保收,维度2/监管处罚,淘宝/京东/拼多多/抖音/小红书五平台均被约谈；监管定性"内卷式竞争"；平台拒绝提供补贴金额证明；平台规则中单方面免责条款排除消费者权利,钩子→反转→机制→对策,https://scjgj.beijing.gov.cn/zwxx/scjgdt/202606/t20260611_4696365.html,"平台多次拒绝提供本次'6·18'活动期间投入的实际补贴金额及平台、商家间的出资比例。平台未在显著位置公示'百亿补贴'相关活动规则",2026-06-11,详情URL:北京市市场监管局官网;逐字证据:该文原文;发布时间:该文标注日期
2026-09-01,B,奶粉品牌方毛利率73.5% vs 母婴店毛利率16%：一场渠道权力的大翻转,同一罐奶粉，品牌方赚73.5%毛利，母婴店只赚16%，差价4.6倍——谁在吃肉谁在喝汤？,品牌方→母婴店→消费者：品牌方掌握定价权→给母婴店留16%毛利→母婴店沦为提货点→消费者付出398元买80元成本奶粉→品牌方拿走近6倍于门店的利润,维度3/36氪深度,某头部奶粉品牌毛利率73.5%；母婴店奶粉业务毛利率16%；出厂价不到80元/罐→终端售价398元；母婴店综合毛利率从45%跌至微利,钩子→反转→机制→对策,https://m.36kr.com/p/3958905496894595,"某头部奶粉品牌毛利率达到73.5%，而母婴店的奶粉业务的毛利率也只有16%左右",2026-08-28,详情URL:36氪;逐字证据:原文;发布时间:2026-08-28
2026-09-01,C,外卖平台费用吃掉利润增长：古茗3000元外卖单利润不如1000元堂食单,同一品牌、同样的产品，做外卖竟然比堂食还亏钱——平台的费用结构把"增量不增利"变成了餐饮业的标准悲剧,平台→商家→消费者：平台收佣金+配送费+投流费→商家三项成本叠加→3000元外卖单到手可能不足10%→堂食1000元净利润反而更高→餐饮商家的增量全是给平台打工,维度3/36氪,老乡鸡外卖平台费用占收入6.3%；古茗3000元外卖单利润不如1000元堂食单；外卖人均消费从33.1元降至27.2元；平台费用增长几乎吃掉外卖收入增长全部,反转→机制→对策,https://m.36kr.com/p/3957715627998336,"品牌财报显示，老乡鸡外卖平台费用占收入的6.3%，古茗3000元外卖单的利润，甚至不如1000元的堂食单",2026-08-27,详情URL:36氪;逐字证据:原文;发布时间:2026-08-27
2026-09-01,C,最高法退款公式：按"折扣价"算还是"原价"算？商家总选有利于自己的,消费者退款时，商家按"已消费折扣价"算，消费者退款按"原价"扣——最高法规则写了，但执行起来，消费者拿到手的钱永远比预想的少,商家→消费者：付款时按折扣价消费→退款时按"原价"扣除已消费额→规则本意是保护消费者→实操中商家选择最有利于自己的计价方式→消费者实际退款额往往打5折甚至更低,维度1/裁判文书网,最高法2025年5月1日施行退款计算规则；退款按折扣价vs原价两种算法差异显著；七日无理由退款写入司法解释,钩子→机制→对策,https://www.court.gov.cn/zixun/xiangqing/459321.html,"非因消费者原因返还预付款的，人民法院按折扣价计算已兑付商品或者提供服务的价款",2025-03-14,详情URL:最高法官网;逐字证据:原文;发布时间:2025-03-14
2026-09-01,A,虚假广告2026年26张罚单：中位数7.45万，最高60万，42%低于5万,企业违法虚假广告动辄千万营收，罚款中位数才7.45万——罚款金额连广告效果的零头都不到，这是在罚还是在发广告费？,违法企业→消费者：虚假广告带来增量销售→被发现后罚款中位数仅7.45万→违法成本远低于违法收益→形成"罚得起"的套利逻辑→下一家企业继续违法,维度2/监管处罚,2026年26张虚假广告罚单；中位数7.45万；最高60万；42.3%罚单低于5万；远低于广告带来的实际收益,钩子→反转→机制,https://www.byerisk.com/blog/false-ad-penalty-amount-2026-26-real-fines,"2026年官方公开的26张真罚单：中位数7.45万元，最高60万元，42.3%落在5万元以下",2026-06-01,详情URL:比源网汇总;逐字证据:原文;发布时间:2026-06（汇总）
2026-09-01,A,魏家凉皮卖1000万只赚15万：1.5%净利率，餐饮"自虐式经营"真相,年营收超30亿、门店超400家，1000万营收只净赚15万——这不是经营问题，是整个餐饮行业在用自杀换流量,平台→餐饮商家→消费者：平台要求参与补贴→餐饮毛利率从50-60%压到40%以下→成本上涨（鸡蛋涨58%）叠加平台费上升→净利率跌破2%→商家靠走量维持,钩子→反转→机制,https://m.36kr.com/p/3957715627998336,"卖1000万元才盈利15万。魏家凉皮近日宣布全线涨价时抛出的数据，像一根针扎进了餐饮人的神经。1.5%的净利率",2026-08-27,详情URL:36氪;逐字证据:原文;发布时间:2026-08-27
2026-09-01,D,百亿补贴"先涨后降"：你以为是捡漏，平台在收割你的人傻钱多,618百亿补贴前，商家先涨20-30%再参与补贴——最终到手价和平时差不多，但"划线原价"让你感觉占了大便宜,平台→商家→消费者：活动前暗涨原价→活动期间用补贴名义降价→消费者看到"划线原价"产生锚定效应→实际到手价和平时无异→平台获得GMV和流量,钩子→反转→机制,https://scjgj.beijing.gov.cn/zwxx/scjgdt/202606/t20260611_4696365.html,"百亿补贴并非'6·18'期间平台投入百亿资金补贴消费者，实际是一项长期的营销活动",2026-06-11,详情URL:北京市市场监管局;逐字证据:原文;发布时间:2026-06-11
2026-09-01,B,母婴店信息差消失：导购说啥宝妈买啥的年代，一去不复返,过去母婴店导购推荐什么奶粉，什么奶粉就断货；现在的95后宝妈，进店前已在网上做完测评——信息差没了，暴利就没了,品牌方/母婴店→宝妈：过去靠信息不对称卖高价→95后宝妈看测评视频→直接网上下单→母婴店沦为体验店→综合毛利率从45%跌到16%以下,钩子→反转→机制,https://m.36kr.com/p/3958905496894595,"现在年轻人却不买账，95后、00后的宝妈们，从小就在网上长大，买东西之前已经在网上看了不少测评视频，下足功夫，直接把母婴店的信息差优势打得粉碎",2026-08-28,详情URL:36氪;逐字证据:原文;发布时间:2026-08-28
2026-09-01,C,平台规则"单方面免责"：出问题了？平台说"我只收钱不担责",拼多多、抖音、小红书在规则中写明"平台不因此承担商品有关的责任"——收了佣金却不用担责，这条款合法吗？,平台→商家→消费者：平台收取佣金/推广费→商品出问题→平台援引免责条款拒绝承担→消费者维权找不到平台→商家资产执行难→平台旱涝保收,钩子→机制→对策,https://scjgj.beijing.gov.cn/zwxx/scjgdt/202606/t20260611_4696365.html,"对于与商品有关的任何纠纷，拼多多作为平台方，可在法定范围内予以必要协助，但不因此承担商品有关的责任",2026-06-11,详情URL:北京市市场监管局;逐字证据:原文;发布时间:2026-06-11
2026-09-01,A,全国母婴店一年关1.47万家：那些年"暴利"吸进来的人，正在排队离场,过去一年全国线下亲子门店净减少1.47万家，二线城市关店率7.5%——暴利时代结束，进来时以为捡到摇钱树，出去时发现已是火烧眉毛,消费者（进店）→母婴店：新生儿减半（1786万→792万）→进店人数腰斩→商场租金涨至30-40%→信息差优势消失→关店1.47万家,反转→机制,https://m.36kr.com/p/3958905496894595,"过去一年，全国线下亲子门店净减少约1.47万家，二线城市关店率最高达7.5%",2026-08-28,详情URL:36氪;逐字证据:原文;发布时间:2026-08-28
